variable,col1,col2,col3,col4,col5,Sector,Subsector,Technology,Fuel,CCS_flag
Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,Carbon Sequestration,CCS,Fossil,Energy,Supply,Energy,Supply,CCS,Fossil,CCS
Carbon Sequestration|Land Use|Afforestation,Carbon Sequestration,Land Use,Afforestation,,,Agriculture,Afforestation,Land Use,,
Cumulative Capacity|Electricity|Solar|PV,Cumulative Capacity,Electricity,Solar,PV,,Renewables,Solar,Solar - PV,Solar,
Efficiency|Electricity|Coal|w/ CCS,Efficiency,Electricity,Coal,w/ CCS,,Power,Coal,Coal - w/ CCS,Coal,w/ CCS
Investment|Energy Supply|Electricity|Oil|w/ CCS,Investment,Energy Supply,Electricity,Oil,w/ CCS,Power,,Oil,Oil,w/ CCS
Final Energy|Other Sector|Gases,Final Energy,Other Sector,Gases,,,Gases,,,,
Emissions|CO2|Energy|Demand|Residential and Commercial,Emissions,CO2,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|PFC|CF4,Emissions,PFC,CF4,,,Gases,,CF4,,
Cumulative Capacity|Electricity|Biomass,Cumulative Capacity,Electricity,Biomass,,,Power,Biomass,Biomass,Biomass,
Cumulative Capacity|Electricity|Coal,Cumulative Capacity,Electricity,Coal,,,Power,Coal,Coal,Coal,
Production|Cement,Production,Cement,,,,Cement,,,,
Final Energy|Transportation|Liquids|Natural Gas,Final Energy,Transportation,Liquids,Natural Gas,,Transportation,Liquids,Natural Gas,,
Secondary Energy|Hydrogen|Coal,Secondary Energy,Hydrogen,Coal,,,Hydrogen,Coal,Hydrogen,,
Investment|Energy Demand|Transportation|Passenger|Road|LDV|EV,Investment,Energy Demand,Transportation,Passenger,Road,Transportation,,Passenger,Passenger,
Value Added|Industry,Value Added,Industry,,,,Industry,,,,
Emissions|CO2|Energy|Demand|Transportation|Maritime,Emissions,CO2,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|2W&3W,Emissions,CO2,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|Sulfur|Energy|Demand|Transportation|Passenger,Emissions,Sulfur,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Energy Service|Transportation|Aviation,Energy Service,Transportation,Aviation,,,Transportation,Aviation,,,
Final Energy|Transportation|Rail,Final Energy,Transportation,Rail,,,Transportation,Rail,,,
Final Energy|Transportation|Rail|Freight,Final Energy,Transportation,Rail,Freight,,Transportation,Rail,Freight,,
Cumulative Capacity|Electricity|Wind|Offshore,Cumulative Capacity,Electricity,Wind,Offshore,,Power,Wind,Wind - Offshore,Wind,
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Cooking,Emissions,CO2,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Final Energy|Residential and Commercial|Heating,Final Energy,Residential and Commercial,Heating,,,Heating,,,,
Final Energy|Residential and Commercial|Heating|Water,Final Energy,Residential and Commercial,Heating,Water,,Heating,Water,,,
Final Energy|Residential and Commercial|Residential|Appliances,Final Energy,Residential and Commercial,Residential,Appliances,,Residential,Appliances,,,
Trade|Primary Energy|Coal|Value,Trade,Primary Energy,Coal,Value,,Coal,Coal,,Coal,
Trade|Value,Trade,Value,,,,,,,,
Final Energy|Residential and Commercial|Commercial|Heating|Water,Final Energy,Residential and Commercial,Commercial,Heating,Water,Commercial,Heating,Water,,
Value Added|Industry|Construction,Value Added,Industry,Construction,,,Industry,Construction,,,
Discount rate|Residential and Commercial,Discount rate,Residential and Commercial,,,,Residential and Commercial,,,,
Policy Cost|Welfare Change,Policy Cost,Welfare Change,,,,,,,,
Primary Energy|Non-Biomass Renewables|Wind,Primary Energy,Non-Biomass Renewables,Wind,,,Renewables,Non-Biomass Renewables,Wind,,
Primary Energy|Biomass|Hydrogen,Primary Energy,Biomass,Hydrogen,,,Biomass,Hydrogen,Hydrogen,,
Primary Energy|Coal|Gases,Primary Energy,Coal,Gases,,,Coal,Coal,Coal - Gases,Gases,
Expenditure|household,Expenditure,household,,,,,,,,
Import|Energy,Import,Energy,,,,Energy,,,,
Emissions|CH4|Waste,Emissions,CH4,Waste,,,Gases,,Waste,,
Expenditure|government,Expenditure,government,,,,,,,,
Final Energy (excl. feedstocks)|Industry|Gases|Hydrogen synfuel,Final Energy (excl. feedstocks),Industry,Gases,Hydrogen synfuel,,Industry,Gases,Hydrogen synfuel,,
Secondary Energy|Heat|Other,Secondary Energy,Heat,Other,,,Heat,Other,Heat,,
Resource|Extraction|Coal,Resource,Extraction,Coal,,,Coal,Coal,,,
Expenditure|Energy|Index,Expenditure,Energy,Index,,,Energy,,,,
Value Added,Value Added,,,,,,,,,
Capital Cost|Hydrogen|Biomass|w/ CCS,Capital Cost,Hydrogen,Biomass,w/ CCS,,Biomass,Hydrogen,Biomass - w/ CCS,Biomass,w/ CCS
OM Cost|Fixed|Hydrogen|Biomass|w/ CCS,OM Cost,Fixed,Hydrogen,Biomass,w/ CCS,Biomass,Hydrogen,Biomass - w/ CCS,,w/ CCS
Capacity|Hydrogen|Gas|w/ CCS,Capacity,Hydrogen,Gas,w/ CCS,,Power,Hydrogen,Hydrogen - Gas,,w/ CCS
Investment|Energy Supply|Hydrogen|Other,Investment,Energy Supply,Hydrogen,Other,,Hydrogen,,Other,Other,
Water Withdrawal|Electricity|Cooling Pond,Water Withdrawal,Electricity,Cooling Pond,,,Power,Cooling Pond,Cooling Pond,,
Price|Final Energy|Residential and Commercial|Residential|Liquids|Biomass,Price,Final Energy,Residential and Commercial,Residential,Liquids,Residential and Commercial,Residential,Residential - Liquids,Biomass-liquid,
Emissions|BC|Energy|Demand|Residential and Commercial|Commercial,Emissions,BC,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|CO|Industrial Processes,Emissions,CO,Industrial Processes,,,Industry,,Industrial Processes,,
Emissions|OC|Energy|Demand|Residential and Commercial|Residential,Emissions,OC,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|VOC|Industrial Processes,Emissions,VOC,Industrial Processes,,,Industry,,Industrial Processes,,
Final Energy (excl. feedstocks)|Industry|Liquids|Bioenergy,Final Energy (excl. feedstocks),Industry,Liquids,Bioenergy,,Industry,Liquids,Bioenergy,,
Final Energy|Industry|Cement|Hydrogen,Final Energy,Industry,Cement,Hydrogen,,Cement,Hydrogen,,,
Final Energy|Industry|Cement|Liquids|Fossil,Final Energy,Industry,Cement,Liquids,Fossil,Cement,Liquids,Fossil,,
Final Energy|Industry|Chemicals|High value chemicals|Liquids,Final Energy,Industry,Chemicals,High value chemicals,Liquids,Chemicals,High value chemicals,Liquids,,
Final Energy|Industry|Chemicals|High value chemicals|Solids|Fossil,Final Energy,Industry,Chemicals,High value chemicals,Solids,Chemicals,High value chemicals,Solids,,
Final Energy|Industry|Other|Gases,Final Energy,Industry,Other,Gases,,Industry,Gases,,,
Final Energy|Industry|Other|Liquids,Final Energy,Industry,Other,Liquids,,Industry,Liquids,Other,,
Final Energy|Industry|Pulp and Paper|Heat,Final Energy,Industry,Pulp and Paper,Heat,,Pulp and Paper,Heat,,,
Population|Relying on Solid Fuels,Population,Relying on Solid Fuels,,,,,,,,
Price|Agriculture|Rice|Index,Price,Agriculture,Rice,Index,,Agriculture,Rice,,,
Investment|Infrastructure|Transportation,Investment,Infrastructure,Transportation,,,Transportation,,,,
Capital Formation,Capital Formation,,,,,,,,,
Carbon Intensity|Production|Cement|Industrial Processes,Carbon Intensity,Production,Cement,Industrial Processes,,Cement,,Industrial Processes,,
Emissions|VOC|Waste,Emissions,VOC,Waste,,,Gases,,Waste,,
Final Energy|Industry|Gases|Bioenergy,Final Energy,Industry,Gases,Bioenergy,,Industry,Bioenergy,Gases,,
Land Cover|Cropland|Energy Crops|2nd generation,Land Cover,Cropland,Energy Crops,2nd generation,,Agriculture,,,,
Land Cover|Forest|Secondary,Land Cover,Forest,Secondary,,,Agriculture,,,,
Energy Service|Residential and Commercial|Residential|Single family|Construction,Energy Service,Residential and Commercial,Residential,Single family,Construction,Residential and Commercial,Residential,,,
Forcing,Forcing,,,,,,,,,
Forcing|N2O,Forcing,N2O,,,,,,,,
Policy Cost|Other,Policy Cost,Other,,,,,,,,
Final Energy|Industry|Gases|,Final Energy,Industry,Gases,,,Industry,Gases,Gases,,
Final Energy|Transportation|Freight|Gases|Bioenergy,Final Energy,Transportation,Freight,Gases,Bioenergy,Transportation,Freight,Gases - Bioenergy,,
Capacity|Transportation|Aviation|Freight,Capacity,Transportation,Aviation,Freight,,Transportation,Aviation,Freight,,
Capacity|Transportation|Road|Passenger,Capacity,Transportation,Road,Passenger,,Transportation,Road,Passenger,,
Final Energy|Residential and Commercial|Commercial|Water|Desalination,Final Energy,Residential and Commercial,Commercial,Water,Desalination,Commercial,Water,Desalination,,
Capacity|Liquids|Coal,Capacity,Liquids,Coal,,,Power,Liquids,,Coal,
Efficiency|Hydrogen|Biomass|w/ CCS,Efficiency,Hydrogen,Biomass,w/ CCS,,Biomass,Hydrogen,Hydrogen,Biomass,w/ CCS
Efficiency|Liquids|Gas|w/o CCS,Efficiency,Liquids,Gas,w/o CCS,,Gas&Oil,Liquids,Gas - w/o CCS,Gas,w/o CCS
Lifetime|Hydrogen|Gas|w/o CCS,Lifetime,Hydrogen,Gas,w/o CCS,,Hydrogen,Gas,Gas - w/o CCS,Gas,w/o CCS
Lifetime|Liquids|Coal|w/ CCS,Lifetime,Liquids,Coal,w/ CCS,,Liquids,Coal,Coal - w/ CCS,Coal,w/ CCS
Lifetime|Liquids|Gas|w/ CCS,Lifetime,Liquids,Gas,w/ CCS,,Liquids,Gas,Gas - w/ CCS,Gas,w/ CCS
OM Cost|Fixed|Liquids|Gas|w/ CCS,OM Cost,Fixed,Liquids,Gas,w/ CCS,Gas&Oil,Gas,Gas - w/ CCS,,w/ CCS
Water Consumption|Hydrogen|Fossil|w/ CCS,Water Consumption,Hydrogen,Fossil,w/ CCS,,Hydrogen,Fossil,Fossil - w/ CCS,Fossil,w/ CCS
Water Consumption|Liquids,Water Consumption,Liquids,,,,Liquids,,,,
Water Withdrawal|Gases|Biomass,Water Withdrawal,Gases,Biomass,,,Biomass,Gases,Water Withdrawal,Biomass,
Water Withdrawal|Heat,Water Withdrawal,Heat,,,,Heat,,,,
Water Withdrawal|Heat|Gas,Water Withdrawal,Heat,Gas,,,Heat,Gas,Gas,Gas,
Water Withdrawal|Hydrogen|Biomass,Water Withdrawal,Hydrogen,Biomass,,,Hydrogen,Biomass,Biomass,Biomass,
Water Withdrawal|Liquids|Biomass,Water Withdrawal,Liquids,Biomass,,,Liquids,Biomass,Biomass,Biomass,
Water Withdrawal|Liquids|Biomass|w/o CCS,Water Withdrawal,Liquids,Biomass,w/o CCS,,Liquids,Biomass,Biomass - w/o CCS,Biomass,w/o CCS
Emissions|CO2|Energy|Demand|Industry|Chemicals|Methanol,Emissions,CO2,Energy,Demand,Industry,Industry,Demand,Energy,,
GDP|PPP|Per capita growth rate,GDP,PPP,Per capita growth rate,,,,,,,
Population|Extreme poverty,Population,Extreme poverty,,,,,,,,
Population|Relative poverty|w.r.t. median income|Share,Population,Relative poverty,w.r.t. median income,Share,,,,,,
Useful Energy|Per Capita|Residential and Commercial,Useful Energy,Per Capita,Residential and Commercial,,,Residential and Commercial,,,,
Capacity|Electricity|Storage|Battery Capacity,Capacity,Electricity,Storage,Battery Capacity,,Power,Storage,Storage - Battery Capacity,Electricity,
Capital Cost |Electricity|Solar|PV|Rooftop PV,Capital Cost ,Electricity,Solar,PV,Rooftop PV,Renewables,Solar,Solar - PV,,
Capital Cost|Electricity|Storage|Battery Capacity,Capital Cost,Electricity,Storage,Battery Capacity,,Power,Storage,Storage - Battery Capacity,Electricity,
Effciency|Heating|Heat pumps,Efficiency,Heating,Heat pumps,,,Heating,Heating,Heat pumps,,
Lifetime|Heating|Heat pumps,Lifetime,Heating,Heat pumps,,,Heating,Heat pumps,Heat pumps,Heat pumps,
Lifetime|Storage|Thermal Energy Storage|District heating storage,Lifetime,Storage,Thermal Energy Storage,District heating storage,,Storage,Thermal Energy Storage,Thermal Energy Storage - District heating storage,Thermal Energy Storage,
Energy Service|Residential and Commercial|Renovation rate,Energy Service,Residential and Commercial,Renovation rate,,,Residential and Commercial,Renovation rate,,,
Emissions|BC|Energy|Demand|Transportation,Emissions,BC,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|CH4,Emissions,CH4,,,,Gases,,,,
Emissions|CH4|Energy|Supply,Emissions,CH4,Energy,Supply,,Power,Supply,Energy,,
Emissions|CO2|Energy and Industrial Processes,Emissions,CO2,Energy and Industrial Processes,,,Industry,,Energy and Industrial Processes,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential,Emissions,CO2,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|HFC|HFC125,Emissions,HFC,HFC125,,,Gases,,HFC125,,
Emissions|HFC|HFC143a,Emissions,HFC,HFC143a,,,Gases,,HFC143a,,
Emissions|N2O|AFOLU|Agriculture|Managed Soils,Emissions,N2O,AFOLU,Agriculture,Managed Soils,Managed Soils,Agriculture,AFOLU,,
Emissions|NH3|Energy,Emissions,NH3,Energy,,,Gases,,Energy,,
Emissions|OC|AFOLU,Emissions,OC,AFOLU,,,Gases,,AFOLU,,
Emissions|OC|Energy|Demand|Transportation,Emissions,OC,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Energy Service|Transportation|Freight|Road,Energy Service,Transportation,Freight,Road,,Transportation,Freight,,,
Final Energy|Industry|Electricity,Final Energy,Industry,Electricity,,,Industry,,,,
Final Energy|Non-Energy Use|Oil,Final Energy,Non-Energy Use,Oil,,,Non-Energy Use,Oil,,Oil,
Final Energy|Other Sector|Solids|Coal,Final Energy,Other Sector,Solids,Coal,,Coal,,,,
Final Energy|Residential and Commercial|Solids,Final Energy,Residential and Commercial,Solids,,,Residential and Commercial,,,,
Final Energy|Transportation,Final Energy,Transportation,,,,Transportation,,,,
Final Energy|Transportation|Passenger,Final Energy,Transportation,Passenger,,,Transportation,Passenger,,,
Final Energy|Transportation|Passenger|Liquids|Oil,Final Energy,Transportation,Passenger,Liquids,Oil,Transportation,Passenger,Liquids - Oil,,
GDP|MER,GDP,MER,,,,,,,,
Investment|Energy Supply|Electricity|Electricity Storage,Investment,Energy Supply,Electricity,Electricity Storage,,Power,Storage,Electricity Storage,,
Investment|Energy Supply|Electricity|Gas|w/ CCS,Investment,Energy Supply,Electricity,Gas,w/ CCS,Power,Gas,Gas,Gas,w/ CCS
Investment|Energy Supply|Electricity|Hydro,Investment,Energy Supply,Electricity,Hydro,,Renewables,Hydro,Hydro,Hydro,
Investment|Energy Supply|Electricity|Transmission and Distribution,Investment,Energy Supply,Electricity,Transmission and Distribution,,Power,Transmission and Distribution,Transmission and Distribution,,
Land Cover,Land Cover,,,,,,,,,
Land Cover|Forest|Natural Forest,Land Cover,Forest,Natural Forest,,,,,,,
Price|Primary Energy|Gas,Price,Primary Energy,Gas,,,Gas&Oil,Gas,,Gas,
Price|Primary Energy|Oil,Price,Primary Energy,Oil,,,Oil,Oil,,Oil,
Price|Secondary Energy|Liquids,Price,Secondary Energy,Liquids,,,Liquids,,,,
Primary Energy|Biomass,Primary Energy,Biomass,,,,Biomass,,,,
Primary Energy|Biomass|Energy Crops,Primary Energy,Biomass,Energy Crops,,,Biomass,Energy Crops,Energy Crops,,
Primary Energy|Coal,Primary Energy,Coal,,,,Coal,Coal,,Coal,
Primary Energy|Gas|Electricity|w/o CCS,Primary Energy,Gas,Electricity,w/o CCS,,Power,,Gas - w/o CCS,Gas,w/o CCS
Primary Energy|Gas|w/ CCS,Primary Energy,Gas,w/ CCS,,,Gas&Oil,Gas,Gas - w/ CCS,Gas,w/ CCS
Primary Energy|Oil|Electricity|w/ CCS,Primary Energy,Oil,Electricity,w/ CCS,,Power,,Oil - w/ CCS,Oil,w/ CCS
Primary Energy|Oil|w/ CCS,Primary Energy,Oil,w/ CCS,,,Oil,Oil,Oil - w/ CCS,Oil,w/ CCS
Secondary Energy|Electricity|Coal|w/ CCS,Secondary Energy,Electricity,Coal,w/ CCS,,Power,Coal,Coal - w/ CCS,,w/ CCS
Secondary Energy|Electricity|Hydro,Secondary Energy,Electricity,Hydro,,,Renewables,Hydro,Hydro,Hydro,
Secondary Energy|Electricity|Solar|PV,Secondary Energy,Electricity,Solar,PV,,Renewables,Solar,Solar - PV,,
Secondary Energy|Solids,Secondary Energy,Solids,,,,Solids,,Solids,,
Secondary Energy|Solids|Coal,Secondary Energy,Solids,Coal,,,Coal,Coal,Solids,,
Trade|Primary Energy|Oil|Volume,Trade,Primary Energy,Oil,Volume,,Oil,Oil,,Oil,
Trade|Secondary Energy|Liquids|Biomass|Volume,Trade,Secondary Energy,Liquids,Biomass,Volume,Liquids,Biomass,,Biomass,
Water Consumption|Electricity|Fossil,Water Consumption,Electricity,Fossil,,,Power,Fossil,Fossil,Fossil,
Water Consumption|Irrigation,Water Consumption,Irrigation,,,,Irrigation,,,,
Water Withdrawal|Electricity|Coal,Water Withdrawal,Electricity,Coal,,,Power,Coal,Coal,Coal,
Water Withdrawal|Electricity|Oil|w/o CCS,Water Withdrawal,Electricity,Oil,w/o CCS,,Power,Oil,Oil - w/o CCS,Oil,w/o CCS
Water Withdrawal|Industrial Water,Water Withdrawal,Industrial Water,,,,Industrial Water,,,,
Capacity Additions|Electricity|Biomass|w/o CCS,Capacity Additions,Electricity,Biomass,w/o CCS,,Power,Biomass,Biomass - w/o CCS,Biomass,w/o CCS
Capacity Additions|Electricity|Gas,Capacity Additions,Electricity,Gas,,,Power,Gas,Gas,Gas,
Capacity|Electricity|Coal|w/o CCS,Capacity,Electricity,Coal,w/o CCS,,Power,Coal,Coal - w/o CCS,Coal,w/o CCS
Capacity|Electricity|Gas|w/ CCS,Capacity,Electricity,Gas,w/ CCS,,Power,Gas,Gas - w/ CCS,Gas,w/ CCS
Capital Cost|Electricity|Nuclear,Capital Cost,Electricity,Nuclear,,,Nuclear,Nuclear,Nuclear,,
Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration,CCS,Biomass,Energy,Supply,Energy,Supply,CCS,Biomass,CCS
Emissions|BC,Emissions,BC,,,,,,,,
Investment|Energy Supply|Electricity|Coal|w/ CCS,Investment,Energy Supply,Electricity,Coal,w/ CCS,Power,Coal,Coal,Coal,w/ CCS
Investment|Energy Supply|Electricity|Oil,Investment,Energy Supply,Electricity,Oil,,Power,Oil,,Oil,
Investment|Energy Supply|Electricity|Oil|w/o CCS,Investment,Energy Supply,Electricity,Oil,w/o CCS,Power,Oil,,Oil,w/o CCS
Secondary Energy|Heat|Geothermal,Secondary Energy,Heat,Geothermal,,,Heat,Geothermal,Heat,,
Emissions|CO2|Energy|Demand|Residential,Emissions,CO2,Energy,Demand,Residential,Residential,Demand,Energy,,
Water Withdrawal|Irrigation,Water Withdrawal,Irrigation,,,,Irrigation,,,,
Yield|Cereal,Yield,Cereal,,,,Agriculture,Cereal,Cereal,,
Investment|Energy Supply|Hydrogen,Investment,Energy Supply,Hydrogen,,,Hydrogen,,,,
Carbon Sequestration|Land Use,Carbon Sequestration,Land Use,,,,,,Land Use,,
Emissions|CO2|Energy|Demand|Transportation|Freight,Emissions,CO2,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|CO2|Energy|Supply|Gases,Emissions,CO2,Energy,Supply,Gases,Energy,Supply,Gases,,
Final Energy|Other Sector|Solids|Biomass|Traditional,Final Energy,Other Sector,Solids,Biomass,Traditional,Biomass,,,,
Final Energy|Residential and Commercial|Residential|Hydrogen,Final Energy,Residential and Commercial,Residential,Hydrogen,,Residential,Hydrogen,,,
Final Energy|Residential and Commercial|Residential|Other,Final Energy,Residential and Commercial,Residential,Other,,Residential,Other,,,
Lifetime|Electricity|Coal|w/o CCS,Lifetime,Electricity,Coal,w/o CCS,,Power,Coal,Coal - w/o CCS,Coal,w/o CCS
Lifetime|Electricity|Hydro,Lifetime,Electricity,Hydro,,,Renewables,Hydro,Hydro,Hydro,
Secondary Energy|Electricity|Solar|CSP,Secondary Energy,Electricity,Solar,CSP,,Renewables,Solar,Solar - CSP,,
Secondary Energy|Electricity|Storage Losses,Secondary Energy,Electricity,Storage Losses,,,Power,Storage Losses,Storage Losses,,
Secondary Energy|Gases|Coal,Secondary Energy,Gases,Coal,,,Coal,Coal,Gases,,
Secondary Energy|Hydrogen|Biomass|w/ CCS,Secondary Energy,Hydrogen,Biomass,w/ CCS,,Hydrogen,Biomass,Hydrogen - w/ CCS,,w/ CCS
Secondary Energy|Hydrogen|Coal|w/o CCS,Secondary Energy,Hydrogen,Coal,w/o CCS,,Hydrogen,Coal,Hydrogen - w/o CCS,,w/o CCS
Secondary Energy|Hydrogen|Fossil|w/o CCS,Secondary Energy,Hydrogen,Fossil,w/o CCS,,Hydrogen,Fossil,Hydrogen - w/o CCS,,w/o CCS
Secondary Energy|Hydrogen|Gas|w/o CCS,Secondary Energy,Hydrogen,Gas,w/o CCS,,Hydrogen,Gas,Hydrogen - w/o CCS,,w/o CCS
Secondary Energy|Liquids|Coal|w/o CCS,Secondary Energy,Liquids,Coal,w/o CCS,,Liquids,Coal,Liquids - w/o CCS,,w/o CCS
Secondary Energy|Liquids|Gas,Secondary Energy,Liquids,Gas,,,Liquids,Gas,Liquids,,
Capital Cost|Electricity|Wind|Offshore,Capital Cost,Electricity,Wind,Offshore,,Renewables,Wind,Wind - Offshore,Wind,
Energy Service|Residential and Commercial|Floor Space,Energy Service,Residential and Commercial,Floor Space,,,Residential and Commercial,Floor Space,,,
Investment|Energy Demand|Transportation|Freight|Road|HDT|EV,Investment,Energy Demand,Transportation,Freight,Road,Transportation,,Freight,Freight,
Price|Secondary Energy|Hydrogen,Price,Secondary Energy,Hydrogen,,,Hydrogen,,,Hydrogen,
Yield|Sugarcrops,Yield,Sugarcrops,,,,Agriculture,Sugarcrops,Sugarcrops,,
Energy Service|Transportation|Navigation,Energy Service,Transportation,Navigation,,,Transportation,Navigation,,,
Final Energy|Transportation|Aviation|Passenger,Final Energy,Transportation,Aviation,Passenger,,Transportation,Aviation,Passenger,,
Final Energy|Transportation|Road|Freight|ICE,Final Energy,Transportation,Road,Freight,ICE,Transportation,Road,Freight - ICE,,
Final Energy|Transportation|Road|Passenger|2W&3W,Final Energy,Transportation,Road,Passenger,2W&3W,Transportation,Road,Passenger - 2W&3W,,
Final Energy|Residential and Commercial|Commercial|Heating|Cooking,Final Energy,Residential and Commercial,Commercial,Heating,Cooking,Commercial,Heating,Cooking,,
